ID_OPERATION;MAIN_OPERATION;DIFF_IP;ROLE_COUNT;STORNO_5MIN_COUNT;STORNO_SAMETIME_COUNT;FLAG_ID_STORNO_APPROVE;FLAG_BK_PIN;HAS_CLIENT_SESSION;TYPE
10924121236;0;NULL;1;0;0;10924195921;NULL;NULL;fraud
8975056391;0;NULL;0;0;0;NULL;NULL;NULL;fraud
4995813043;1;0;0;0;0;NULL;NULL;NULL;fraud
4338537712;0;NULL;0;0;0;NULL;NULL;NULL;fraud
4349764840;0;NULL;0;0;0;NULL;4349757184;NULL;fraud
10900165072;1;0;1;0;0;NULL;NULL;NULL;fraud
9627160919;0;NULL;0;0;0;NULL;9626948472;NULL;fraud
4436081323;0;NULL;1;0;0;4436087902;NULL;NULL;fraud
9097515359;0;NULL;2;0;0;NULL;9097212085;NULL;fraud
9783626910;0;NULL;0;0;0;9783625103;NULL;NULL;fraud
4034848504;0;NULL;2;0;0;4034874115;4034801173;NULL;fraud
4447022493;0;NULL;0;0;0;NULL;NULL;NULL;fraud
9856014414;0;NULL;1;0;0;NULL;NULL;NULL;fraud
9097901377;1;0;0;0;0;NULL;9097855267;NULL;fraud
1098634965;0;NULL;1;1;0;1098306505;NULL;NULL;fraud
8198243074;0;NULL;2;0;0;8198242472;NULL;NULL;fraud
8334769275;0;NULL;0;0;0;NULL;NULL;NULL;fraud
1085459424;0;NULL;1;1;0;NULL;NULL;NULL;fraud
4423223432;0;NULL;0;0;0;NULL;4423212358;NULL;fraud
4423198979;0;NULL;0;0;0;NULL;4423168182;NULL;fraud
3647142197;0;NULL;1;0;0;NULL;NULL;NULL;fraud
4241536185;0;NULL;1;0;0;NULL;4240833645;NULL;fraud
7923963858;0;NULL;0;0;0;NULL;NULL;NULL;fraud
8977833404;0;NULL;0;0;0;NULL;8977557625;NULL;fraud
4258236435;0;NULL;0;0;0;NULL;NULL;NULL;fraud
9353504213;0;NULL;0;0;0;NULL;NULL;NULL;fraud
9098636052;0;NULL;1;0;0;NULL;NULL;NULL;fraud
1088669866;0;NULL;0;0;0;NULL;1088660731;NULL;fraud
9336355700;0;NULL;1;0;0;9336248748;NULL;NULL;fraud
3312201503;0;NULL;1;0;0;3312209006;3312023437;NULL;fraud
4472181706;0;NULL;2;0;0;4472187778;NULL;NULL;fraud
4208997097;1;0;1;0;0;NULL;4208983975;NULL;fraud
9101887018;1;0;0;0;0;NULL;NULL;NULL;fraud
3361425214;0;NULL;1;0;0;3361426708;NULL;NULL;fraud
9343209596;0;NULL;0;0;0;9343192919;9342874619;NULL;fraud
5347310013;0;NULL;0;0;0;NULL;NULL;NULL;fraud
1098274065;0;NULL;1;0;0;NULL;NULL;NULL;fraud
8124549603;0;NULL;1;0;0;NULL;NULL;NULL;fraud
11070806097;0;NULL;1;0;0;NULL;NULL;NULL;fraud
8124549602;0;NULL;1;1;1;NULL;NULL;NULL;fraud
4242575998;0;NULL;0;0;0;NULL;4242559574;NULL;fraud
8690029062;0;NULL;1;0;0;NULL;8689970771;NULL;fraud
9740987803;0;NULL;0;0;0;NULL;NULL;NULL;fraud
3599123475;0;NULL;1;0;0;NULL;NULL;NULL;fraud
5722008083;0;NULL;1;0;0;5722001145;NULL;NULL;fraud
5341274305;0;NULL;1;0;0;NULL;NULL;NULL;fraud
10205784524;0;NULL;0;0;0;10204215581;NULL;NULL;fraud
9741045008;0;NULL;0;0;0;NULL;NULL;NULL;fraud
