UID;REALIP;STTS;TARIF_INT;PRICE_INT;DATE_OFF
10187356;;0;Снова вместе 50;300;
10166903;;0;Снова вместе 70;350;
10187434;;0;Интернет 2015;399;
10187391;;0;Снова вместе 70;350;
10187400;;0;Снова вместе 70;350;
10007423;;0;Интернет 2015;399;
10091407;;0;Снова вместе 50;300;
10091136;;0;Интернет 99;399;
10187425;;0;Снова вместе 50;300;
10187317;;0;Интернет 2015;399;
10187395;;0;Снова вместе 70;350;
10081669;;0;Снова вместе 70;350;
10017976;;0;Снова вместе 70;350;
10187435;;0;Интернет 99;399;
10187429;;0;Интернет 99;399;
10187397;;0;Интернет 2015;399;
10187414;;0;Интернет 2015;399;
10143746;;0;Специальный 350;299;
10135451;;0;Интернет 99;399;
10187338;;0;Интернет 2015;399;
10187205;;0;Интернет 2015;399;
10113664;;0;Моно 50;299;
10187298;;0;Интернет 2015;399;
10187358;;0;Снова вместе 70;350;
10187379;;0;Интернет 2015;399;
10074682;;0;Интернет 2015;399;
10113078;;0;Интернет 1 Гбит;800;
10187392;;0;Интернет 99;399;
10187291;;0;Интернет 99;399;
10187255;;0;Интернет 99;399;
10187114;;0;Снова вместе 50;300;
10186654;;0;Интернет 99;399;
10187394;;0;Интернет 99;399;
10176932;;0;Снова вместе 70;350;
10187348;;0;Интернет 2015;399;
10187293;;0;Интернет 99;399;
10179187;;0;Моно 25;249;
10185031;;0;Интернет 2015;399;
10187359;;0;Интернет 2015;399;
10187386;;0;Интернет 2015;399;
10187286;;0;Интернет 2015;399;
10187388;;0;Снова вместе 70;350;
10155786;;0;Интернет 2015;399;
10059584;;0;Интернет;400;
10187211;;0;Снова вместе 70;350;
10187375;;0;Интернет 2015;399;
10187376;;0;Интернет 2015;399;
10115379;;0;Снова вместе 70;350;
10187396;;0;Снова вместе 70;350;
10187351;;0;Интернет 99;399;
10187398;;0;Снова вместе 50;300;
10187360;;0;Интернет 2015;399;
10187213;;0;Интернет 2015;399;
10187191;;0;Интернет 2015;399;
10187149;;0;Снова вместе 50;300;
10187226;;0;Интернет 2015;399;
10090704;;0;Интернет 2015;399;
10187281;;0;Интернет 99;399;
10030257;;0;Снова вместе 70;350;
10141332;;0;Интернет 99;399;
10162770;;0;Снова вместе 50;300;
10187339;;0;Интернет 99;399;
10186962;;0;Снова вместе 70;350;
10187239;;0;Интернет 2015;399;
10172810;;0;Снова вместе 70;350;
10187328;;0;Интернет 2015;399;
10187292;;0;Интернет 99;399;
10171011;;0;Интернет 2015;399;
10187350;;0;Сёрфинг;300;
10038485;;0;Снова вместе 70;350;
10187349;;0;Моно 25;249;
10101873;;0;Интернет 99;399;
10187251;;0;Интернет 2015;399;
10185155;;0;Снова вместе 50;300;
10187312;;0;Моно 50;299;
10187244;;0;Интернет 99;399;
10187234;;0;Интернет 2015;399;
10187228;;0;Снова вместе 50;300;
10187316;;0;Интернет 2015;399;
10018716;;0;Снова вместе 70;350;
10159763;;0;Моно 50;299;
10185853;;0;Интернет 99;399;
10187238;;0;Интернет 2015;399;
10187326;;0;Снова вместе 70;350;
10187353;;0;Интернет 2015;399;
10114094;;0;Интернет;400;
10154885;;0;Интернет 2015;399;
10187342;;0;Интернет 2015;399;
10187261;;0;Интернет 2015;399;
10184895;;0;Интернет 99;399;
10187314;;0;Интернет;400;
10187174;;0;Снова вместе 50;300;
10187237;;0;Снова вместе 70;350;
10107087;;0;Интернет 99;399;
10187000;;0;Интернет 2015;399;
10187106;;0;Снова вместе 70;350;
10117072;;0;Интернет 99;399;
10186421;;0;Интернет 99;399;
10187008;;0;Сёрфинг;300;
10030414;;0;Снова вместе 70;350;
10187297;;0;Интернет 99;399;
10187010;;0;Моно 50;299;
10019944;;0;Снова вместе 50;300;
10187139;;0;Моно 50;299;
