uid;DATE;OLD_TARIF;OLD_PRICE;NEW_TARIF;NEW_PRICE
10016387;12.11.11 16:50;Актив;370;ПРОСТО класс 500;500
10014522;20.11.11 14:28;Двойной форсаж;490;ПРОСТО класс 500;500
10016387;01.12.11 0:05;ПРОСТО класс 500;500;Актив;370
10005876;09.12.11 10:00;Двойной форсаж;490;ПРОСТО класс 500;500
10026188;11.12.11 16:32;ПРОСТО класс 600;600;ПРОСТО класс 700;700
10111344;17.09.14 9:16;Сёрфинг+;500;Нет интернета;0
10164407;28.09.15 17:26;Нет интернета;0;Интернет 2015;399
10173532;29.12.16 8:07;Интернет 200 Мбит;449;Интернет 2015;399
10044865;05.05.14 11:30;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10176340;30.05.16 15:44;Интернет 2015;399;Специальный 50;250
10169514;23.12.15 17:10;Нет интернета;0;Интернет 1 Гбит;800
10023910;01.01.12 0:05;Тест-драйв пакет 444;444;Актив;370
10024430;18.09.14 9:31;Нет интернета;0;Интернет;400
10134388;06.04.14 11:07;Нет интернета;0;Сёрфинг;300
10140513;09.09.14 8:26;Сёрфинг;300;Нет интернета;0
10110772;02.10.14 9:12;Сёрфинг;300;Нет интернета;0
10068968;12.07.12 9:03;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10032013;23.01.16 9:07;Нет интернета;0;Интернет 2015;399
10068968;07.10.14 9:01;ПРОСТО Класс 500 ускорение;380;Интернет;400
10117429;12.10.14 11:46;Нет интернета;0;Интернет;400
10173123;19.03.16 10:20;Нет интернета;0;Интернет 2015;399
10064898;01.02.12 10:11;ПРОСТО класс 600;600;ПРОСТО класс 700;700
10028299;20.02.12 14:38;По рублю 10;300;По рублю 20;600
10176340;17.11.16 8:07;Специальный 50;250;Снова вместе 50;300
10013390;26.10.14 12:13;ПРОСТО Класс 500 ускорение;380;Интернет;400
10064898;05.03.12 16:41;ПРОСТО класс 700;700;ПРОСТО класс 800;800
10071924;20.03.12 23:49;По рублю 10;300;ПРОСТО класс 600;600
10026802;21.03.12 12:31;ПРОСТО класс 500;500;ПРОСТО класс 600;600
10002187;26.05.12 3:27;ПРОСТО класс 600;600;ПРОСТО Класс 600 ускорение;480
10178330;21.06.16 10:53;Нет интернета;0;Интернет 2015;399
10026037;01.04.12 0:05;ПРОСТО класс 700;700;ПРОСТО класс 500;500
